organism,f1,pubmed_count,pool_size,pubmed_per_protein,spearman_r_f1_pubmed,spearman_p_f1_pubmed,spearman_r_f1_pubmed_per_prot,spearman_p_f1_pubmed_per_prot,spearman_r_f1_pool_size,spearman_p_f1_pool_size
Saccharomyces cerevisiae,0.086,603,4560,0.13223684210526315,0.49999999999999994,0.39100221895577053,-0.09999999999999999,0.8728885715695383,0.49999999999999994,0.39100221895577053
Homo sapiens,0.081,7757,11042,0.7024995471834813,0.49999999999999994,0.39100221895577053,-0.09999999999999999,0.8728885715695383,0.49999999999999994,0.39100221895577053
Escherichia coli,0.069,597,2177,0.27423059255856685,0.49999999999999994,0.39100221895577053,-0.09999999999999999,0.8728885715695383,0.49999999999999994,0.39100221895577053
Mus musculus,0.065,1489,8758,0.17001598538479104,0.49999999999999994,0.39100221895577053,-0.09999999999999999,0.8728885715695383,0.49999999999999994,0.39100221895577053
Danio rerio,0.026,149,759,0.1963109354413702,0.49999999999999994,0.39100221895577053,-0.09999999999999999,0.8728885715695383,0.49999999999999994,0.39100221895577053
