model,n,exact_f1,semantic_f1,gain,gain_pct
Llama 3.3 70B,11880,0.0754,0.3286,0.2532,336.0
Mistral Large 123B,11880,0.0749,0.3316,0.2567,342.8
Qwen2.5 72B,11880,0.0681,0.308,0.2399,352.4
Qwen3 32B,11880,0.0631,0.2617,0.1987,314.9
Gemma-4 31B,11880,0.0554,0.262,0.2067,373.3
Llama 3.1 8B,11880,0.0497,0.2624,0.2128,428.5
Mixtral 8x7B,11880,0.0447,0.2459,0.2011,449.7
Qwen2.5 7B,11880,0.0374,0.1985,0.1611,430.4
Mistral 7B,11880,0.0332,0.2208,0.1876,565.2
Gemma3 12B,11880,0.0279,0.175,0.1471,527.4
